brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
73388,for_sale,780000,2,2,NULL,1100073,"Fort Lauderdale",Florida,33308,1580,35573
14714,for_sale,1800000,3,3,0.21,879544,"Fort Lauderdale",Florida,33308,1908,42209
32342,for_sale,1799000,3,3,NULL,959089,"Fort Lauderdale",Florida,33308,2088,44515
16829,for_sale,2950000,3,3,0.22,937347,"Fort Lauderdale",Florida,33308,2776,41262
81619,for_sale,999999,2,3,NULL,1035133,"Fort Lauderdale",Florida,33308,1859,33999
81619,for_sale,2699000,4,5,NULL,771516,"Lauderdale By The Sea",Florida,33308,3854,
73388,for_sale,1030000,2,3,NULL,1100074,"Fort Lauderdale",Florida,33308,2080,44516
81619,for_sale,2299000,4,5,NULL,704622,"Lauderdale By The Sea",Florida,33308,3207,
22611,for_sale,229000,2,2,NULL,1013326,"Fort Lauderdale",Florida,33308,1120,
50047,for_sale,239900,2,2,NULL,670214,"Fort Lauderdale",Florida,33308,1180,38183
66355,for_sale,315000,2,2,NULL,1013325,"Fort Lauderdale",Florida,33308,1300,36585
84926,for_sale,340000,2,2,NULL,776014,"Fort Lauderdale",Florida,33308,1120,44620
35838,for_sale,299500,2,2,NULL,895842,"Fort Lauderdale",Florida,33308,758,38576
30807,for_sale,600000,3,3,0.17,1456910,"Fort Lauderdale",Florida,33308,1732,
17823,for_sale,225000,2,2,NULL,1545713,"Fort Lauderdale",Florida,33308,1030,38070
54228,for_sale,400000,1,1,NULL,959177,"Fort Lauderdale",Florida,33308,1000,43768
29746,for_sale,315000,2,2,NULL,1371347,"Fort Lauderdale",Florida,33308,928,44645
58264,for_sale,270000,2,2,NULL,1371348,"Fort Lauderdale",Florida,33308,928,38765
70271,for_sale,10500000,5,7,0.78,1123011,"Fort Lauderdale",Florida,33308,6323,43257
36338,for_sale,545000,2,2,NULL,988421,"Fort Lauderdale",Florida,33308,1351,36019
93224,for_sale,425000,2,2,NULL,959186,"Fort Lauderdale",Florida,33308,1400,43405
32342,for_sale,495000,2,2,NULL,1022628,"Fort Lauderdale",Florida,33308,1340,42061
87756,for_sale,789000,3,2,0.18,1416645,"Fort Lauderdale",Florida,33308,1987,43958
18916,for_sale,415000,1,2,NULL,1116520,"Fort Lauderdale",Florida,33308,1050,38085
